finance_id,month_key,product_key,retailer_key,units_sold,list_price_eur,cogs_per_unit_eur,excise_duty_per_unit_eur,gross_revenue_eur,trade_investment_eur,off_invoice_spend_eur,on_invoice_spend_eur,excise_duty_total_eur,logistics_cost_eur,net_revenue_eur,gross_margin_eur,gross_margin_pct
38,202001,1020,107,3793,0.703,0.354,0.0,2480.99,306.33,192.94,113.39,0.0,319.44,2174.66,511.77,20.63
39,202001,1020,108,3497,0.679,0.328,0.0,2138.67,344.86,176.66,168.2,0.0,248.37,1793.81,398.76,18.65
40,202001,1020,110,10312,0.702,0.326,0.0,6600.05,659.26,335.87,323.38,0.0,356.98,5940.79,2222.84,33.68
41,202001,1022,100,3458,0.615,0.217,0.0,2067.71,263.99,185.29,78.69,0.0,211.99,1803.72,841.12,40.68
42,202001,1022,101,3809,0.683,0.301,0.0,2243.24,210.59,126.53,84.06,0.0,253.71,2032.65,630.72,28.12
43,202001,1022,102,4015,0.643,0.239,0.0,2411.47,302.96,180.09,122.87,0.0,317.19,2108.51,830.93,34.46
44,202001,1022,103,4750,0.683,0.286,0.0,2802.97,370.3,292.23,78.07,0.0,419.37,2432.67,652.83,23.29
45,202001,1022,104,4277,0.635,0.328,0.0,2570.72,299.98,239.15,60.82,0.0,281.43,2270.74,586.05,22.8
46,202001,1022,105,2088,0.687,0.243,0.0,1240.23,137.95,96.27,41.68,0.0,149.27,1102.28,446.27,35.98
47,202001,1022,106,2239,0.653,0.281,0.0,1341.97,274.47,163.89,110.58,0.0,193.83,1067.5,244.08,18.19
48,202001,1022,107,2053,0.604,0.327,0.0,1227.82,227.54,120.78,106.76,0.0,108.51,1000.28,220.9,17.99
49,202001,1022,109,10005,0.622,0.263,0.0,5743.65,1204.39,893.51,310.88,0.0,810.37,4539.26,1096.11,19.08
50,202001,1022,110,14207,0.637,0.299,0.0,8381.65,1841.69,1420.99,420.7,0.0,1226.35,6539.96,1068.01,12.74
51,202001,1024,102,2546,1.562,0.584,0.0,3946.44,635.36,412.34,223.03,0.0,164.22,3311.08,1659.46,42.05
52,202001,1024,104,7288,1.661,0.825,0.0,11034.97,1667.36,1070.58,596.78,0.0,458.89,9367.61,2897.77,26.26
53,202001,1024,105,3758,1.755,0.837,0.0,5704.9,695.1,437.43,257.67,0.0,136.56,5009.8,1729.33,30.31
54,202001,1024,109,9778,1.695,0.838,0.0,14678.27,2868.05,2003.65,864.4,0.0,785.06,11810.22,2828.94,19.27
55,202001,1024,110,12334,1.698,0.67,0.0,18895.8,1553.17,1056.16,497.01,0.0,730.05,17342.63,8349.97,44.19
56,202001,1027,100,2354,0.617,0.223,0.0066,1401.34,151.61,120.44,31.17,15.54,178.88,1234.19,529.65,37.8
57,202001,1027,102,1928,0.622,0.213,0.0066,1131.31,90.51,49.96,40.54,12.72,145.1,1028.08,472.14,41.73
58,202001,1027,105,1687,0.632,0.21,0.0066,991.52,175.81,125.79,50.02,11.13,143.62,804.58,306.42,30.9
59,202001,1027,107,1531,0.671,0.255,0.0066,900.96,189.99,110.95,79.04,10.1,72.28,700.87,237.51,26.36
60,202001,1027,108,2056,0.677,0.302,0.0066,1239.24,124.05,85.14,38.91,13.57,179.96,1101.62,300.73,24.27
61,202001,1027,110,8667,0.648,0.303,0.0066,5194.3,622.73,497.8,124.93,57.2,400.05,4514.37,1487.44,28.64
62,202001,1031,100,1959,3.097,1.163,0.0528,5359.91,430.49,340.76,89.73,103.44,126.66,4825.98,2420.47,45.16
63,202001,1031,102,2256,3.127,0.973,0.0528,6105.86,678.45,500.9,177.55,119.12,155.79,5308.29,2957.25,48.43
64,202001,1031,103,1144,2.855,1.123,0.0528,3072.63,424.28,278.24,146.04,60.4,87.08,2587.95,1216.07,39.58
65,202001,1031,105,1424,3.097,1.421,0.0528,3877.99,776.72,614.72,162.0,75.19,55.86,3026.08,946.43,24.41
66,202001,1031,108,1824,3.097,1.036,0.0528,4832.83,433.64,299.7,133.94,96.31,71.81,4302.88,2341.28,48.45
67,202001,1031,109,6745,2.761,1.352,0.0528,18509.99,1630.71,899.19,731.52,356.14,435.4,16523.14,6971.34,37.66
68,202001,1031,110,6706,2.829,1.086,0.0528,17719.65,3008.98,2147.3,861.68,354.08,509.35,14356.59,6565.82,37.05
69,202001,1034,102,2506,2.868,1.152,0.04,6474.28,650.16,368.47,281.69,100.24,107.4,5723.88,2728.99,42.15
70,202001,1034,103,1761,2.827,1.189,0.04,4490.26,447.1,330.85,116.25,70.44,88.73,3972.72,1790.64,39.88
71,202001,1034,105,2396,2.656,1.075,0.04,5947.42,729.75,568.41,161.34,95.84,197.17,5121.83,2348.85,39.49
72,202001,1034,106,910,2.899,1.182,0.04,2341.47,212.08,115.63,96.45,36.4,72.74,2092.99,944.23,40.33
73,202001,1034,108,2556,2.69,1.109,0.04,6571.39,1320.32,825.27,495.04,102.24,127.51,5148.83,2186.34,33.27
74,202001,1034,109,4680,2.923,1.409,0.04,11980.05,1588.41,961.0,627.41,187.2,150.0,10204.44,3461.26,28.89
75,202001,1034,110,7826,2.736,1.288,0.04,19541.53,4016.54,2588.84,1427.7,313.04,469.49,15211.95,4666.31,23.88
76,202001,1035,100,1393,2.211,0.739,0.0264,2761.97,3743.989264229887,186.67,84.76,36.78,62.95,2453.77,1361.39,49.29
77,202001,1035,102,1169,2.069,0.717,0.0264,2265.92,217.09,123.82,93.26,30.86,77.51,2017.97,1102.31,48.65
78,202001,1035,103,2270,2.224,0.807,0.0264,4545.92,901.82,540.16,361.67,59.93,76.14,3584.17,1677.15,36.89
79,202001,1035,104,4188,2.026,0.958,0.0264,8413.23,765.44,518.61,246.83,110.56,227.44,7537.22,3295.99,39.18
80,202001,1035,105,2313,2.228,0.831,0.0264,4722.89,505.58,290.65,214.94,61.06,140.21,4156.24,2093.75,44.33
81,202001,1035,107,1614,2.054,0.998,0.0264,3265.01,365.98,212.06,153.91,42.61,84.0,2856.42,1162.13,35.59
82,202001,1035,108,1318,2.166,1.003,0.0264,2603.8,264.31,157.47,106.84,34.8,54.42,2304.69,928.48,35.66
83,202001,1035,110,6747,2.099,0.822,0.0264,12791.67,2124.55,1080.89,1043.66,178.12,421.43,10489.0,4518.59,35.32
84,202001,1036,100,907,2.263,0.712,0.03,1782.11,169.49,101.4,68.09,27.21,80.39,1585.41,859.37,48.22
85,202001,1036,101,1512,2.09,0.898,0.03,3008.08,424.6,217.73,206.87,45.36,53.13,2538.12,1127.06,37.47
86,202001,1036,102,1309,2.284,0.994,0.03,2644.75,522.55,299.73,222.83,39.27,93.59,2082.93,688.39,26.03
87,202001,1036,103,785,2.015,0.929,0.03,1591.83,293.74,218.27,75.46,23.55,70.04,1274.54,475.38,29.86
88,202001,1036,104,3403,2.218,0.944,0.03,6842.87,1368.38,864.34,504.04,102.09,251.04,5372.4,1909.97,27.91
89,202001,1036,106,1270,2.269,1.033,0.03,2412.05,509.53,326.65,182.87,38.1,88.56,1864.42,464.39,19.25
90,202001,1036,110,6164,2.016,0.979,0.03,12276.76,2658.81,1723.07,935.73,184.92,279.98,9433.03,3119.6,25.41
91,202001,1037,101,2255,0.624,0.256,0.0066,1317.57,275.5,208.89,66.61,14.88,100.76,1027.18,349.64,26.54
92,202001,1037,103,1162,0.614,0.231,0.0066,663.64,115.18,78.22,36.95,7.67,81.27,540.79,191.2,28.81
93,202001,1037,105,1340,0.625,0.254,0.0066,736.72,141.11,94.87,46.24,8.84,66.04,586.76,180.39,24.49
94,202001,1037,109,6031,0.643,0.328,0.0066,3560.02,602.66,406.92,195.74,39.8,287.18,2917.55,652.65,18.33
95,202001,1037,110,5711,0.65,0.307,0.0066,3300.5,498.95,376.68,122.27,37.69,466.33,2763.86,545.45,16.53
96,202001,1043,100,2456,2.7,1.017,0.0135,6426.49,939.75,571.52,368.23,33.16,88.3,5453.59,2866.39,44.6
97,202001,1043,102,2408,2.732,1.423,0.0135,5987.04,622.57,430.6,191.97,32.51,118.66,5331.96,1785.68,29.83
98,202001,1043,103,2717,2.783,1.426,0.0135,6937.92,983.2,565.86,417.34,36.68,203.08,5918.04,1839.64,26.52
99,202001,1043,105,897,2.646,1.062,0.0135,2361.25,358.74,266.08,92.67,12.11,30.22,1990.4,1007.86,42.68
100,202001,1043,108,1357,3.035,1.259,0.0135,3504.08,327.69,253.77,73.91,18.32,47.88,3158.07,1401.55,40.0
101,202001,1043,110,9721,3.011,1.409,0.0135,25438.51,3414.61,2341.75,1072.85,131.23,591.62,21892.67,7601.37,29.88
102,202001,1048,100,1296,3.666,1.749,0.1056,3775.57,684.54,528.35,156.18,136.86,110.2,2954.18,576.67,15.27
103,202001,1048,101,1474,3.574,1.299,0.1056,4792.4,602.07,452.8,149.26,155.65,126.54,4034.68,1993.65,41.6
104,202001,1048,102,1161,3.724,1.467,0.1056,3742.2,589.92,463.62,126.3,122.6,66.08,3029.68,1260.17,33.67
105,202001,1048,103,1359,3.318,1.308,0.1056,4452.79,374.62,211.35,163.26,143.51,122.31,3934.66,2035.45,45.71
106,202001,1048,104,2278,3.341,1.427,0.1056,7231.03,658.16,400.11,258.04,240.56,197.2,6332.32,2884.43,39.89
107,202001,1048,105,697,3.293,1.202,0.1056,2250.95,395.87,217.31,178.56,73.6,54.96,1781.47,889.0,39.49
108,202001,1048,109,4717,3.563,1.472,0.1056,15177.93,3226.86,2302.93,923.93,498.12,221.78,11452.95,4285.74,28.24
109,202001,1048,110,3599,3.517,1.518,0.1056,11721.39,1829.79,942.47,887.31,380.05,214.46,9511.55,3834.0,32.71
110,202001,1049,100,1158,2.919,1.591,0.06,3284.02,692.07,459.49,232.58,69.48,103.77,2522.47,576.02,17.54
111,202001,1049,103,874,3.216,1.161,0.06,2237.43,480.71,328.51,152.2,52.44,34.69,1704.28,655.09,29.28
112,202001,1049,105,656,3.183,1.08,0.06,1884.55,234.08,126.85,107.22,39.36,24.76,1611.11,878.03,46.59
113,202001,1049,106,1109,3.29,1.114,0.06,3234.33,627.83,346.59,281.23,66.54,55.08,2539.96,1249.35,38.63
114,202001,1049,109,3345,3.242,1.431,0.06,9287.1,1949.35,1464.61,484.74,200.7,139.08,7137.05,2211.19,23.81
115,202001,1049,110,4106,3.175,1.516,0.06,11755.78,1573.6,826.12,747.48,246.36,217.16,9935.82,3493.32,29.72
116,202001,1051,100,1225,2.086,0.837,0.04,2214.47,481.38,290.16,191.22,49.0,45.7,1684.09,612.94,27.68
117,202001,1051,101,1183,1.903,0.74,0.04,2095.8,333.78,211.28,122.5,47.32,80.9,1714.7,758.02,36.17
118,202001,1051,102,1091,2.021,0.882,0.04,2014.17,320.34,224.73,95.61,43.64,74.84,1650.19,613.44,30.46
119,202001,1051,105,948,1.978,0.917,0.04,1751.65,223.61,122.45,101.16,37.92,72.26,1490.12,548.46,31.31
120,202001,1051,106,459,2.035,0.772,0.04,842.48,141.87,75.74,66.12,18.36,27.89,682.25,300.12,35.62
121,202001,1051,107,1910,1.938,0.822,0.04,3464.45,395.58,270.75,124.82,76.4,64.9,2992.47,1357.76,39.19
122,202001,1051,108,780,1.893,0.919,0.04,1388.36,255.18,152.04,103.13,31.2,47.07,1101.98,338.43,24.38
123,202001,1051,110,5019,2.021,0.731,0.04,9272.16,958.86,555.77,403.1,200.76,222.46,8112.54,4223.59,45.55
124,202001,1052,100,683,2.456,0.875,0.0528,1454.63,152.58,91.91,60.67,36.06,45.18,1265.98,623.41,42.86
125,202001,1052,102,1429,2.181,1.169,0.0528,3072.65,346.22,210.7,135.53,75.45,90.34,2650.98,890.6,28.98
126,202001,1052,103,761,2.377,0.79,0.0528,1543.01,233.59,126.64,106.95,40.18,67.47,1269.24,600.91,38.94
127,202001,1052,110,3914,2.218,1.173,0.0528,8091.82,1218.43,751.95,466.49,206.66,246.24,6666.73,1828.85,22.6
128,202001,1056,100,619,1.915,0.682,0.0396,956.79,97.04,52.75,44.29,24.51,54.18,835.24,358.8,37.5
129,202001,1056,102,865,1.947,0.833,0.0396,1523.43,321.42,228.55,92.88,34.25,69.42,1167.75,377.79,24.8
130,202001,1056,104,1617,1.821,0.673,0.0396,2866.07,268.31,198.29,70.02,64.03,54.61,2533.73,1390.66,48.52
131,202001,1056,105,1081,2.02,0.924,0.0396,1851.49,209.19,128.3,80.89,42.81,95.92,1599.5,504.41,27.24
132,202001,1056,108,981,1.857,0.729,0.0396,1746.26,339.02,179.92,159.1,38.85,57.38,1368.39,596.33,34.15
133,202001,1056,110,4146,1.859,0.869,0.0396,7244.17,1253.42,805.32,448.1,164.18,346.49,5826.56,1877.83,25.92
134,202001,1057,100,633,0.789,0.272,0.0099,425.81,44.67,30.56,14.11,6.27,36.95,374.88,165.63,38.9
135,202001,1057,102,888,0.755,0.314,0.0099,621.92,118.9,91.97,26.93,8.79,71.17,494.22,144.1,23.17
136,202001,1057,103,1094,0.793,0.298,0.0099,725.04,85.1,52.86,32.24,10.83,68.03,629.11,234.97,32.41
137,202001,1057,106,653,0.823,0.304,0.0099,405.17,65.61,40.17,25.44,6.46,51.2,333.1,83.37,20.58
138,202001,1057,108,1050,0.811,0.302,0.0099,744.61,77.54,52.27,25.27,10.4,68.0,656.67,271.4,36.45
139,202001,1057,110,3324,0.803,0.282,0.0099,2263.79,299.97,184.02,115.95,32.91,165.5,1930.91,829.71,36.65
140,202001,1058,100,805,1.808,0.925,0.03,1357.13,278.8,153.39,125.41,24.15,31.29,1054.18,278.54,20.52
141,202001,1058,101,928,1.848,0.759,0.03,1589.15,190.14,149.94,40.19,27.84,69.21,1371.17,597.75,37.61
142,202001,1058,104,1656,1.852,0.853,0.03,2802.85,279.27,165.48,113.79,49.68,56.96,2473.9,1004.58,35.84
143,202001,1058,106,660,1.795,0.701,0.03,1127.13,230.38,158.56,71.82,19.8,50.9,876.95,363.68,32.27
144,202001,1058,107,1139,1.882,0.652,0.03,1888.08,309.63,191.31,118.33,34.17,91.3,1544.28,710.34,37.62
145,202001,1058,108,684,1.821,0.682,0.03,1154.22,196.36,134.25,62.12,20.52,22.42,937.34,448.18,38.83
146,202001,1058,110,2462,1.961,0.775,0.03,4227.26,353.33,237.45,115.89,73.86,199.09,3800.07,1693.51,40.06
147,202002,1002,101,1792,2.403,1.147,0.09,4249.92,415.88,256.87,159.01,161.28,149.56,3672.76,1468.64,34.56
148,202002,1002,102,1791,2.576,1.136,0.09,3599.24,395.26,228.16,167.1,161.19,138.17,3042.79,869.77,24.17
149,202002,1002,103,1697,2.539,1.192,0.09,4017.67,832.04,595.74,236.3,152.73,146.6,3032.9,863.53,21.49
150,202002,1002,106,3226,2.485,1.086,0.09,7654.71,801.51,598.91,202.6,290.34,198.64,6562.86,2861.07,37.38
151,202002,1002,107,3685,2.653,0.901,0.09,8772.49,1894.73,1128.11,766.62,331.65,125.16,6546.11,3101.28,35.35
152,202002,1002,108,3236,2.405,0.901,0.09,7177.49,1132.23,815.37,316.86,291.24,202.95,5754.02,2634.65,36.71
153,202002,1002,109,5050,2.587,0.955,0.09,11651.28,1868.27,1348.32,519.95,454.5,244.74,9328.51,4260.95,36.57
154,202002,1002,110,12246,2.51,1.086,0.09,28537.0,3754.85,2450.14,1304.71,1102.14,369.07,23680.01,10017.59,35.1
155,202002,1003,100,3173,2.053,0.946,0.027,6173.8,1050.59,806.49,244.09,85.67,181.54,5037.54,1854.59,30.04
156,202002,1003,102,3659,2.187,1.074,0.027,7170.48,638.0,416.35,221.65,98.79,325.11,6433.68,2180.18,30.4
157,202002,1003,103,1977,2.166,0.848,0.027,3872.23,844.36,486.49,357.87,53.38,153.44,2974.5,1144.61,29.56
158,202002,1003,104,3299,2.178,0.74,0.027,6352.36,785.8,444.16,341.64,89.07,161.18,5477.49,2876.32,45.28
159,202002,1003,108,1472,1.985,1.015,0.027,2898.51,259.5,151.43,108.07,39.74,127.74,2599.27,977.49,33.72
160,202002,1003,109,9195,2.126,0.802,0.027,17115.48,2593.47,1431.12,1162.35,248.26,321.1,14273.75,6573.79,38.41
161,202002,1003,110,6989,1.978,0.924,0.027,13377.24,1229.49,804.84,424.65,188.7,512.07,11959.05,4987.99,37.29
162,202002,1007,101,4169,0.654,0.271,0.0198,2398.51,220.58,122.24,98.34,82.55,288.37,2095.39,679.02,28.31
163,202002,1007,102,4154,0.641,0.286,0.0198,2509.64,339.75,188.89,150.86,82.25,136.56,2087.64,764.12,30.45
164,202002,1007,103,696,0.639,0.27,0.0198,424.63,72.14,57.48,14.66,13.78,56.21,338.71,94.73,22.31
165,202002,1007,104,6024,0.613,0.308,0.0198,3611.52,399.94,214.48,185.46,119.28,278.8,3092.31,958.5,26.54
166,202002,1007,105,2720,0.665,0.221,0.0198,1535.93,213.3,124.06,89.24,53.86,94.31,1268.78,573.44,37.34
167,202002,1007,108,4103,0.675,0.299,0.0198,2111.0,429.76,341.37,88.39,81.24,266.16,1600.0,107.2,5.08
168,202002,1007,110,7996,0.631,0.248,0.0198,4712.16,907.77,512.52,395.25,158.32,336.74,3646.07,1323.2,28.08
169,202002,1011,100,2628,2.291,1.134,0.0792,5695.93,996.53,717.34,279.19,208.14,94.96,4491.26,1416.46,24.87
170,202002,1011,102,3638,2.446,1.202,0.0792,7536.7,791.54,517.22,274.33,288.13,322.48,6457.03,1762.96,23.39
171,202002,1011,104,7043,2.402,1.012,0.0792,14728.25,2982.34,1557.53,1424.81,557.81,533.96,11188.1,3523.96,23.93
172,202002,1011,106,2107,2.333,1.204,0.0792,4626.22,895.62,650.67,244.95,166.87,113.18,3563.73,912.81,19.73
173,202002,1011,108,4226,2.293,1.109,0.0792,8874.22,1948.91,1408.18,540.73,334.7,236.02,6590.61,1666.9,18.78
174,202002,1011,110,8746,2.219,0.807,0.0792,18127.92,2305.79,1665.04,640.75,692.68,379.66,15129.44,7688.76,42.41
175,202002,1014,100,2017,0.813,0.352,0.0198,1395.69,305.91,182.21,123.7,39.94,103.23,1049.84,237.3,17.0
176,202002,1014,101,2477,0.756,0.32,0.0198,1720.18,305.62,178.15,127.47,49.04,158.95,1365.51,414.69,24.11
177,202002,1014,102,3766,0.81,0.259,0.0198,2518.88,253.63,162.04,91.59,74.57,170.53,2190.68,1043.47,41.43
178,202002,1014,103,2422,0.799,0.25,0.0198,1620.88,316.8,180.83,135.97,47.96,150.75,1256.12,500.18,30.86
179,202002,1014,105,2088,0.771,0.257,0.0198,1486.63,126.33,63.67,62.66,41.34,117.72,1318.96,664.32,44.69
180,202002,1014,108,2342,0.753,0.374,0.0198,1666.75,297.47,197.19,100.28,46.37,83.65,1322.91,363.9,21.83
181,202002,1014,110,9907,0.737,0.334,0.0198,6828.13,985.91,635.47,350.44,196.16,712.03,5646.06,1624.81,23.8
182,202002,1020,100,2640,0.716,0.255,0.0,1620.46,187.2,141.96,45.24,0.0,196.04,1433.26,564.41,34.83
183,202002,1020,102,3160,0.723,0.329,0.0,2063.52,351.64,271.59,80.05,0.0,155.16,1711.88,516.86,25.05
184,202002,1020,107,3578,0.672,0.333,0.0,2299.73,485.28,250.2,235.07,0.0,252.0,1814.45,371.93,16.17
185,202002,1020,108,3389,0.729,0.311,0.0,2181.09,388.95,288.84,100.11,0.0,236.46,1792.14,500.92,22.97
186,202002,1020,110,11579,0.717,0.356,0.0,7107.62,1407.28,892.99,514.29,0.0,359.84,5700.34,1213.41,17.07
187,202002,1022,100,3560,0.663,0.248,0.0,2086.01,307.9,166.47,141.44,0.0,295.19,1778.11,598.42,28.69
188,202002,1022,101,3767,0.654,0.233,0.0,2262.53,259.46,184.32,75.14,0.0,173.69,2003.07,952.03,42.08
189,202002,1022,102,4143,0.651,0.279,0.0,2411.82,328.08,219.98,108.1,0.0,209.53,2083.74,720.22,29.86
190,202002,1022,103,5137,0.617,0.317,0.0,3018.82,328.6,235.84,92.76,0.0,230.74,2690.22,831.6,27.55
191,202002,1022,104,4123,0.664,0.27,0.0,2422.39,316.68,210.04,106.64,0.0,278.41,2105.71,715.49,29.54
192,202002,1022,105,2387,0.6,0.266,0.0,1414.98,275.93,191.15,84.78,0.0,100.38,1139.05,403.67,28.53
193,202002,1022,106,2748,0.624,0.225,0.0,1635.12,251.97,151.32,100.65,0.0,174.61,1383.15,589.19,36.03
194,202002,1022,107,2052,0.642,0.235,0.0,1220.09,240.2,150.84,89.36,0.0,87.01,979.89,410.48,33.64
195,202002,1022,109,9283,0.612,0.285,0.0,5515.55,1097.64,574.63,523.0,0.0,324.22,4417.91,1448.94,26.27
196,202002,1022,110,15171,0.634,0.318,0.0,8666.35,1032.19,525.63,506.56,0.0,695.83,7634.16,2115.28,24.41
197,202002,1024,102,2796,1.746,0.78,0.0,4127.65,458.8,301.94,156.86,0.0,103.57,3668.85,1384.88,33.55
198,202002,1024,104,8485,1.625,0.634,0.0,11899.36,2574.14,1618.43,955.71,0.0,593.47,9325.22,3355.45,28.2
199,202002,1024,105,3605,1.709,0.796,0.0,5519.33,1195.69,676.91,518.79,0.0,307.28,4323.64,1148.2,20.8
200,202002,1024,109,9936,1.667,0.606,0.0,14814.38,1380.08,784.26,595.81,0.0,791.87,13434.3,6621.25,44.69
201,202002,1024,110,12734,1.625,0.66,0.0,19105.67,2602.05,1659.28,942.77,0.0,866.4,16503.62,7229.93,37.84
202,202002,1027,100,2541,0.638,0.252,0.0066,1435.59,299.45,230.86,68.59,16.77,122.67,1119.37,356.39,24.83
203,202002,1027,102,2314,0.633,0.32,0.0066,1351.29,276.07,199.31,76.76,15.27,129.71,1059.95,189.54,14.03
204,202002,1027,105,1740,0.619,0.245,0.0066,1051.47,224.01,143.52,80.49,11.48,54.19,815.97,335.54,31.91
205,202002,1027,107,1292,0.657,0.237,0.0066,780.38,98.51,76.99,21.52,8.53,50.1,673.34,316.85,40.6
206,202002,1027,108,1827,0.666,0.243,0.0066,1094.5,232.95,177.0,55.95,12.06,131.68,849.49,272.99,24.94
207,202002,1027,110,8824,0.686,0.244,0.0066,5227.91,727.28,433.49,293.79,58.24,541.73,4442.39,1751.93,33.51
208,202002,1030,100,678,3.646,1.176,0.03,2201.33,323.49,252.15,71.34,20.34,31.62,1857.5,1028.74,46.73
209,202002,1030,101,229,3.721,1.676,0.03,737.34,81.62,49.44,32.18,6.87,8.21,648.85,256.87,34.84
210,202002,1030,102,385,3.415,1.195,0.03,1237.57,262.06,160.64,101.42,11.55,22.73,963.96,481.13,38.88
211,202002,1030,103,220,3.571,1.228,0.03,716.1,118.63,61.2,57.43,6.6,18.66,590.87,302.06,42.18
212,202002,1030,105,293,3.63,1.423,0.03,966.99,179.73,138.74,40.99,8.79,25.75,778.47,335.86,34.73
213,202002,1030,108,559,3.452,1.232,0.03,1817.12,361.98,258.52,103.45,16.77,31.15,1438.37,718.64,39.55
