promo_event_id,promo_key,product_key,retailer_key,region_key,start_date_key,end_date_key,planned_discount_pct,promo_price_eur,planned_units,display_flag,feature_flag
500080,203,1003,100,11,202117,202119,0.234,1.5,723,1,1
500081,201,1003,100,11,202125,202126,0.212,1.55,730,0,1
500082,206,1003,100,11,202137,202138,0.06,1.84,312,0,0
500083,204,1003,100,11,202143,202145,0.243,1.48,764,0,0
500084,200,1003,100,11,202150,202151,0.109,1.75,360,0,0
500085,201,1003,100,11,202221,202221,0.157,1.65,266,0,1
500086,205,1003,100,11,202405,202405,0.059,1.84,153,0,0
500087,203,1003,100,11,202410,202411,0.24,1.49,601,1,1
500088,200,1003,100,11,202418,202420,0.171,1.63,996,0,0
500089,204,1003,100,11,202422,202423,0.281,1.41,714,0,0
500090,203,1003,100,11,202430,202432,0.276,1.42,1305,1,1
500091,202,1003,100,11,202446,202448,0.084,1.8,625,1,0
500092,204,1003,100,11,202509,202511,0.263,1.44,642,0,0
500093,204,1003,100,11,202534,202535,0.321,1.33,904,0,0
500094,204,1003,100,11,202601,202603,0.367,1.24,826,0,0
500095,200,1003,100,11,202607,202608,0.117,1.73,332,0,0
500096,202,1003,100,14,202004,202004,0.083,1.8,101,1,0
500097,203,1003,100,14,202005,202005,0.286,1.4,145,1,1
500098,200,1003,100,14,202009,202010,0.155,1.66,127,0,0
500099,202,1003,100,14,202109,202109,0.122,1.72,167,1,0
500100,201,1003,100,14,202124,202124,0.193,1.58,287,0,1
500101,205,1003,100,14,202204,202205,0.064,1.84,236,0,0
500102,202,1003,100,14,202221,202222,0.116,1.73,348,1,0
500103,201,1003,100,14,202309,202309,0.246,1.48,132,0,1
500104,204,1003,100,14,202312,202314,0.339,1.3,657,0,0
500105,203,1003,100,14,202335,202337,0.309,1.35,792,1,1
500106,204,1003,100,14,202347,202348,0.29,1.39,561,0,0
500107,203,1003,100,14,202424,202425,0.205,1.56,516,1,1
500108,206,1003,100,14,202430,202431,0.064,1.84,525,0,0
500109,206,1003,100,14,202433,202434,0.035,1.89,438,0,0
500110,206,1003,100,14,202441,202443,0.064,1.83,511,0,0
500111,204,1003,100,14,202503,202503,0.418,1.14,237,0,0
500112,202,1003,100,14,202518,202520,0.074,1.82,522,1,0
500113,206,1003,100,14,202603,202605,0.053,1.86,294,0,0
500114,205,1003,100,12,202005,202005,0.083,1.8,288,0,0
500115,205,1003,100,12,202027,202027,0.058,1.85,430,0,0
500116,201,1003,100,12,202039,202039,0.235,1.5,368,0,1
500117,205,1003,100,12,202040,202042,0.063,1.84,929,0,0
500118,206,1003,100,12,202104,202106,0.045,1.87,518,0,0
500119,200,1003,100,12,202108,202110,0.118,1.73,977,0,0
500120,202,1003,100,12,202203,202204,0.125,1.72,540,1,0
500121,202,1003,100,12,202217,202219,0.081,1.8,1071,1,0
500122,206,1003,100,12,202307,202308,0.044,1.87,467,0,0
500123,202,1003,100,12,202315,202316,0.075,1.81,617,1,0
500124,203,1003,100,12,202327,202329,0.314,1.35,1928,1,1
500125,201,1003,100,12,202430,202432,0.241,1.49,1930,0,1
500126,204,1003,100,12,202436,202438,0.418,1.14,2163,0,0
500127,202,1003,100,12,202543,202545,0.114,1.74,1330,1,0
500128,206,1003,100,12,202605,202605,0.037,1.89,263,0,0
500129,203,1003,100,12,202608,202609,0.322,1.33,623,1,1
500130,205,1003,100,12,202627,202627,0.06,1.84,510,0,0
500131,201,1003,100,15,202026,202026,0.217,1.53,552,0,1
500132,202,1003,100,15,202047,202048,0.098,1.77,743,1,0
500133,205,1003,100,15,202123,202123,0.104,1.76,571,0,0
500134,201,1003,100,15,202124,202124,0.247,1.48,817,0,1
500135,204,1003,100,15,202203,202203,0.33,1.31,460,0,0
500136,202,1003,100,15,202211,202211,0.101,1.76,380,1,0
500137,200,1003,100,15,202220,202222,0.156,1.65,1775,0,0
500138,204,1003,100,15,202230,202230,0.318,1.34,803,0,0
500139,201,1003,100,15,202232,202234,0.142,1.68,2260,0,1
500140,205,1003,100,15,202242,202244,0.087,1.79,1086,0,0
500141,201,1003,100,15,202303,202303,0.193,1.58,406,0,1
500142,203,1003,100,15,202323,202324,0.245,1.48,1719,1,1
500143,204,1003,100,15,202402,202402,0.372,1.23,452,0,0
500144,206,1003,100,15,202409,202409,0.047,1.87,305,0,0
500145,205,1003,100,15,202410,202411,0.071,1.82,911,0,0
500146,206,1003,100,15,202429,202429,0.064,1.83,479,0,0
500147,204,1003,100,15,202431,202432,0.406,1.16,1851,0,0
500148,203,1003,100,15,202434,202435,0.193,1.58,1496,1,1
500149,202,1003,100,15,202447,202447,0.108,1.75,427,1,0
500150,200,1003,100,15,202508,202510,0.128,1.71,1168,0,0
500151,200,1003,100,15,202551,202601,0.142,1.68,903,0,0
500152,204,1003,100,15,202609,202611,0.408,1.16,1548,0,0
500153,206,1003,100,10,202018,202018,0.055,1.85,218,0,0
500154,206,1003,100,10,202028,202029,0.044,1.87,892,0,0
500155,202,1003,100,10,202037,202037,0.09,1.78,355,1,0
500156,202,1003,100,10,202104,202104,0.084,1.8,238,1,0
500157,200,1003,100,10,202111,202113,0.169,1.63,905,0,0
500158,205,1003,100,10,202129,202129,0.056,1.85,299,0,0
500159,201,1003,100,10,202149,202151,0.207,1.55,803,0,1
500160,205,1003,100,10,202204,202205,0.085,1.79,427,0,0
500161,201,1003,100,10,202208,202210,0.223,1.52,985,0,1
500162,200,1003,100,10,202211,202212,0.117,1.73,567,0,0
500163,200,1003,100,10,202219,202221,0.183,1.6,1137,0,0
500164,203,1003,100,10,202231,202233,0.227,1.52,2094,1,1
500165,203,1003,100,10,202309,202311,0.176,1.62,1011,1,1
500166,201,1003,100,10,202329,202329,0.144,1.68,374,0,1
500167,204,1003,100,10,202343,202343,0.41,1.16,457,0,0
500168,205,1003,100,10,202408,202410,0.078,1.81,840,0,0
500169,202,1003,100,10,202504,202505,0.091,1.78,643,1,0
500170,203,1003,100,10,202530,202532,0.177,1.61,2077,1,1
500171,205,1003,100,10,202545,202545,0.083,1.8,301,0,0
500172,201,1003,100,10,202606,202608,0.228,1.51,1293,0,1
500173,203,1003,100,10,202625,202626,0.216,1.54,1590,1,1
500174,203,1003,100,10,202627,202627,0.203,1.56,745,1,1
500175,205,1006,100,10,202405,202406,0.064,1.38,439,0,0
500176,204,1006,100,10,202445,202445,0.39,0.9,286,0,0
500177,206,1006,100,10,202502,202504,0.064,1.38,365,0,0
500178,202,1006,100,10,202516,202516,0.081,1.35,235,1,0
500179,203,1006,100,10,202528,202528,0.263,1.08,421,1,1
500180,204,1006,100,10,202605,202606,0.355,0.95,592,0,0
500181,205,1006,100,14,202406,202408,0.059,1.38,841,0,0
500182,201,1006,100,14,202416,202418,0.151,1.25,793,0,1
500183,206,1006,100,14,202446,202448,0.054,1.39,995,0,0
500184,201,1006,100,14,202513,202513,0.26,1.09,480,0,1
500185,202,1006,100,14,202529,202531,0.091,1.34,1806,1,0
500186,203,1006,100,14,202544,202545,0.279,1.06,1126,1,1
500187,201,1006,100,14,202603,202605,0.16,1.23,1074,0,1
500188,203,1006,100,14,202610,202612,0.307,1.02,2140,1,1
500189,202,1006,100,14,202621,202623,0.113,1.3,1413,1,0
500190,204,1006,100,15,202413,202414,0.303,1.02,602,0,0
500191,204,1006,100,15,202445,202446,0.303,1.02,628,0,0
500192,202,1006,100,15,202510,202510,0.121,1.29,102,1,0
500193,204,1006,100,15,202519,202519,0.31,1.01,362,0,0
500194,200,1006,100,15,202549,202550,0.133,1.27,275,0,0
500195,204,1006,100,15,202608,202610,0.351,0.95,651,0,0
500196,201,1006,100,15,202611,202613,0.196,1.18,706,0,1
500197,202,1006,100,11,202413,202413,0.086,1.34,555,1,0
500198,201,1006,100,11,202427,202429,0.195,1.18,3622,0,1
500199,206,1006,100,11,202439,202439,0.058,1.38,542,0,0
500200,205,1006,100,11,202448,202448,0.076,1.36,400,0,0
500201,201,1006,100,11,202530,202531,0.177,1.21,1625,0,1
500202,206,1006,100,11,202551,202601,0.057,1.39,1267,0,0
500203,205,1008,100,10,202514,202516,0.069,1.15,554,0,0
500204,205,1008,100,10,202539,202541,0.096,1.12,541,0,0
500205,204,1008,100,10,202547,202549,0.348,0.81,621,0,0
500206,201,1008,100,10,202606,202606,0.203,0.99,119,0,1
500207,203,1008,100,10,202608,202608,0.259,0.92,158,1,1
500208,200,1008,100,10,202609,202609,0.143,1.06,142,0,0
500209,204,1008,100,10,202611,202613,0.254,0.92,544,0,0
500210,205,1008,100,10,202618,202618,0.062,1.16,165,0,0
500211,201,1008,100,10,202620,202622,0.171,1.03,741,0,1
500212,206,1008,100,12,202431,202432,0.041,1.19,831,0,0
500213,204,1008,100,12,202437,202437,0.26,0.92,497,0,0
500214,201,1008,100,12,202452,202501,0.194,1.0,620,0,1
500215,205,1008,100,12,202521,202522,0.084,1.14,808,0,0
500216,204,1008,100,12,202607,202607,0.257,0.92,265,0,0
500217,201,1008,100,11,202440,202440,0.209,0.98,939,0,1
500218,204,1008,100,11,202519,202521,0.285,0.89,3030,0,0
500219,201,1008,100,11,202544,202544,0.155,1.05,513,0,1
500220,206,1008,100,11,202545,202547,0.047,1.18,1117,0,0
500221,205,1008,100,14,202435,202437,0.069,1.15,947,0,0
500222,202,1008,100,14,202521,202521,0.125,1.09,209,1,0
500223,203,1008,100,14,202538,202539,0.321,0.84,435,1,1
500224,206,1008,100,14,202612,202613,0.058,1.17,310,0,0
500225,200,1008,100,14,202615,202617,0.163,1.04,382,0,0
500226,203,1008,100,14,202624,202624,0.297,0.87,243,1,1
500227,206,1008,100,15,202431,202432,0.059,1.17,506,0,0
500228,201,1008,100,15,202436,202438,0.154,1.05,1432,0,1
500229,203,1008,100,15,202444,202446,0.231,0.95,1173,1,1
500230,204,1008,100,15,202452,202502,0.41,0.73,1271,0,0
500231,205,1008,100,15,202506,202506,0.099,1.12,222,0,0
500232,206,1008,100,15,202511,202512,0.061,1.16,634,0,0
500233,202,1008,100,15,202515,202517,0.111,1.1,945,1,0
500234,203,1008,100,15,202524,202524,0.322,0.84,470,1,1
500235,200,1008,100,15,202601,202603,0.128,1.08,669,0,0
500236,200,1008,100,15,202617,202619,0.109,1.11,1078,0,0
500237,202,1010,100,10,202429,202431,0.094,1.37,1256,1,0
500238,204,1010,100,10,202501,202503,0.259,1.12,1417,0,0
500239,204,1010,100,10,202533,202533,0.418,0.88,625,0,0
500240,203,1010,100,10,202552,202602,0.208,1.2,1052,1,1
500241,205,1010,100,10,202611,202611,0.079,1.39,339,0,0
500242,200,1010,100,10,202622,202623,0.132,1.31,729,0,0
500243,206,1010,100,14,202508,202509,0.053,1.43,273,0,0
500244,202,1010,100,14,202528,202530,0.086,1.38,605,1,0
500245,205,1010,100,14,202548,202549,0.058,1.42,261,0,0
500246,204,1010,100,14,202608,202608,0.274,1.1,174,0,0
500247,205,1010,100,14,202617,202619,0.1,1.36,680,0,0
500248,203,1010,100,14,202621,202623,0.315,1.03,670,1,1
500249,203,1010,100,15,202431,202431,0.242,1.14,1579,1,1
500250,202,1010,100,15,202437,202437,0.081,1.39,734,1,0
500251,200,1010,100,15,202447,202448,0.137,1.3,1744,0,0
500252,200,1010,100,15,202508,202510,0.16,1.27,1856,0,0
500253,206,1010,100,15,202527,202527,0.052,1.43,771,0,0
500254,203,1010,100,15,202541,202541,0.291,1.07,829,1,1
500255,204,1010,100,15,202618,202618,0.379,0.94,1295,0,0
500256,206,1010,100,15,202619,202619,0.038,1.45,839,0,0
500257,201,1011,100,12,202012,202014,0.221,1.71,1076,0,1
500258,201,1011,100,12,202024,202026,0.216,1.72,1676,0,1
500259,201,1011,100,12,202040,202042,0.233,1.68,1357,0,1
500260,202,1011,100,12,202107,202107,0.072,2.03,335,1,0
500261,201,1011,100,12,202128,202128,0.203,1.74,573,0,1
500262,204,1011,100,12,202149,202150,0.291,1.55,1124,0,0
500263,200,1011,100,12,202151,202151,0.174,1.81,413,0,0
500264,200,1011,100,12,202246,202247,0.106,1.96,959,0,0
500265,206,1011,100,12,202309,202311,0.048,2.08,965,0,0
500266,205,1011,100,12,202328,202329,0.085,2.0,1277,0,0
500267,201,1011,100,12,202348,202349,0.214,1.72,1122,0,1
500268,201,1011,100,12,202411,202411,0.248,1.65,535,0,1
500269,205,1011,100,12,202426,202428,0.064,2.05,1554,0,0
500270,203,1011,100,12,202448,202450,0.304,1.52,1745,1,1
500271,200,1011,100,12,202519,202521,0.124,1.92,1629,0,0
500272,205,1011,100,12,202527,202528,0.084,2.0,1814,0,0
500273,202,1011,100,12,202535,202535,0.12,1.93,802,1,0
500274,203,1011,100,12,202543,202544,0.308,1.51,1200,1,1
500275,204,1011,100,12,202606,202608,0.376,1.37,1956,0,0
500276,201,1011,100,12,202614,202615,0.236,1.67,1297,0,1
500277,200,1011,100,12,202617,202617,0.113,1.94,472,0,0
500278,205,1011,100,15,202005,202007,0.087,2.0,723,0,0
500279,203,1011,100,15,202020,202022,0.184,1.79,1373,1,1
500280,206,1011,100,15,202045,202045,0.061,2.06,222,0,0
500281,205,1011,100,15,202105,202106,0.057,2.07,396,0,0
500282,203,1011,100,15,202125,202125,0.217,1.71,415,1,1
500283,206,1011,100,15,202147,202149,0.044,2.09,735,0,0
500284,200,1011,100,15,202205,202206,0.184,1.79,688,0,0
500285,206,1011,100,15,202234,202235,0.046,2.09,582,0,0
500286,202,1011,100,15,202251,202252,0.106,1.96,354,1,0
500287,206,1011,100,15,202304,202304,0.043,2.1,210,0,0
500288,206,1011,100,15,202312,202313,0.058,2.06,530,0,0
500289,206,1011,100,15,202317,202317,0.053,2.07,324,0,0
500290,205,1011,100,15,202323,202324,0.083,2.01,987,0,0
500291,203,1011,100,15,202333,202334,0.198,1.76,1153,1,1
500292,201,1011,100,15,202405,202407,0.158,1.84,775,0,1
500293,202,1011,100,15,202430,202430,0.08,2.01,372,1,0
500294,200,1011,100,15,202511,202511,0.17,1.82,340,0,0
500295,202,1011,100,15,202519,202520,0.099,1.97,723,1,0
500296,206,1011,100,15,202537,202538,0.059,2.06,604,0,0
500297,203,1011,100,15,202546,202547,0.286,1.56,867,1,1
500298,203,1011,100,15,202621,202623,0.233,1.68,1848,1,1
500299,201,1011,100,11,202024,202025,0.23,1.69,393,0,1
500300,204,1011,100,11,202140,202141,0.247,1.65,660,0,0
500301,206,1011,100,11,202150,202152,0.037,2.11,368,0,0
500302,200,1011,100,11,202202,202204,0.118,1.93,541,0,0
500303,202,1011,100,11,202206,202208,0.111,1.95,629,1,0
500304,203,1011,100,11,202209,202209,0.252,1.64,213,1,1
500305,206,1011,100,11,202214,202216,0.051,2.08,574,0,0
500306,201,1011,100,11,202224,202224,0.219,1.71,391,0,1
500307,203,1011,100,11,202232,202233,0.28,1.58,778,1,1
500308,200,1011,100,11,202302,202303,0.163,1.83,415,0,0
500309,201,1011,100,11,202306,202307,0.155,1.85,354,0,1
500310,202,1011,100,11,202330,202332,0.122,1.92,847,1,0
500311,204,1011,100,11,202343,202343,0.393,1.33,274,0,0
500312,205,1011,100,11,202344,202345,0.076,2.02,265,0,0
500313,205,1011,100,11,202402,202403,0.091,1.99,372,0,0
500314,206,1011,100,11,202408,202408,0.063,2.05,170,0,0
500315,200,1011,100,11,202410,202410,0.123,1.92,240,0,0
500316,200,1011,100,11,202427,202429,0.107,1.96,930,0,0
500317,203,1011,100,11,202450,202450,0.296,1.54,226,1,1
500318,206,1011,100,11,202451,202451,0.041,2.1,112,0,0
500319,200,1011,100,11,202503,202504,0.125,1.92,315,0,0
500320,205,1011,100,11,202508,202508,0.091,1.99,198,0,0
500321,200,1011,100,11,202522,202524,0.164,1.83,1098,0,0
500322,206,1011,100,11,202529,202529,0.045,2.09,271,0,0
500323,204,1011,100,11,202607,202609,0.422,1.26,828,0,0
500324,202,1011,100,11,202621,202622,0.112,1.94,458,1,0
500325,200,1011,100,14,202002,202002,0.139,1.89,123,0,0
500326,205,1011,100,14,202010,202012,0.057,2.06,396,0,0
500327,204,1011,100,14,202027,202029,0.36,1.4,1173,0,0
500328,204,1011,100,14,202043,202043,0.355,1.41,284,0,0
500329,203,1011,100,14,202047,202047,0.298,1.54,159,1,1
500330,204,1011,100,14,202112,202113,0.404,1.3,662,0,0
500331,206,1011,100,14,202116,202117,0.047,2.09,447,0,0
500332,204,1011,100,14,202128,202130,0.366,1.39,1002,0,0
500333,201,1011,100,14,202132,202132,0.245,1.65,322,0,1
500334,203,1011,100,14,202136,202137,0.177,1.8,412,1,1
500335,202,1011,100,14,202208,202208,0.074,2.03,160,1,0
500336,200,1011,100,14,202238,202238,0.165,1.83,184,0,0
500337,203,1011,100,14,202239,202239,0.266,1.61,302,1,1
500338,200,1011,100,14,202244,202245,0.142,1.88,474,0,0
500339,203,1011,100,14,202311,202312,0.263,1.61,587,1,1
500340,200,1011,100,14,202319,202319,0.149,1.86,186,0,0
500341,201,1011,100,14,202321,202322,0.22,1.71,548,0,1
500342,201,1011,100,14,202327,202327,0.161,1.84,295,0,1
500343,200,1011,100,14,202416,202417,0.127,1.91,292,0,0
500344,200,1011,100,14,202449,202451,0.134,1.9,551,0,0
500345,201,1011,100,14,202524,202524,0.208,1.73,371,0,1
500346,203,1011,100,14,202603,202604,0.176,1.8,396,1,1
500347,204,1011,100,14,202618,202619,0.29,1.56,842,0,0
500348,202,1012,100,11,202140,202140,0.125,1.52,156,1,0
500349,201,1012,100,11,202149,202149,0.252,1.3,141,0,1
500350,201,1012,100,11,202150,202150,0.201,1.39,135,0,1
500351,201,1012,100,11,202225,202225,0.17,1.44,181,0,1
500352,204,1012,100,11,202232,202233,0.366,1.1,576,0,0
500353,203,1012,100,11,202302,202304,0.203,1.39,359,1,1
500354,200,1012,100,11,202331,202332,0.154,1.47,474,0,0
500355,206,1012,100,11,202342,202344,0.054,1.65,320,0,0
500356,201,1012,100,11,202404,202406,0.178,1.43,303,0,1
500357,200,1012,100,11,202412,202413,0.13,1.51,319,0,0
500358,203,1012,100,11,202430,202431,0.297,1.22,357,1,1
500359,201,1012,100,11,202509,202511,0.22,1.36,498,0,1
500360,202,1012,100,11,202531,202531,0.084,1.59,172,1,0
500361,202,1012,100,11,202533,202533,0.123,1.53,220,1,0
500362,203,1012,100,11,202549,202549,0.302,1.21,152,1,1
500363,202,1012,100,11,202551,202601,0.098,1.57,399,1,0
500364,204,1012,100,11,202621,202622,0.31,1.2,476,0,0
500365,200,1012,100,15,202141,202141,0.184,1.42,268,0,0
500366,203,1012,100,15,202149,202150,0.242,1.32,398,1,1
500367,200,1012,100,15,202205,202207,0.108,1.55,464,0,0
500368,201,1012,100,15,202308,202308,0.148,1.48,120,0,1
500369,200,1012,100,15,202327,202328,0.195,1.4,690,0,0
500370,200,1012,100,15,202342,202343,0.17,1.44,557,0,0
500371,204,1012,100,15,202346,202346,0.418,1.01,347,0,0
500372,203,1012,100,15,202421,202421,0.323,1.18,364,1,1
500373,200,1012,100,15,202422,202423,0.186,1.42,504,0,0
500374,201,1012,100,15,202510,202510,0.168,1.45,197,0,1
500375,205,1012,100,15,202542,202542,0.093,1.58,215,0,0
500376,203,1012,100,15,202610,202611,0.188,1.41,519,1,1
500377,203,1012,100,12,202148,202149,0.281,1.25,796,1,1
500378,203,1012,100,12,202150,202151,0.29,1.24,638,1,1
500379,204,1012,100,12,202213,202214,0.329,1.17,908,0,0
500380,204,1012,100,12,202221,202222,0.246,1.31,697,0,0
500381,200,1012,100,12,202234,202236,0.177,1.43,1258,0,0
500382,202,1012,100,12,202243,202244,0.073,1.61,489,1,0
500383,200,1012,100,12,202247,202249,0.113,1.54,800,0,0
500384,205,1012,100,12,202330,202331,0.092,1.58,794,0,0
500385,200,1012,100,12,202333,202333,0.108,1.55,468,0,0
500386,204,1012,100,12,202407,202409,0.419,1.01,1020,0,0
500387,203,1012,100,12,202434,202436,0.188,1.41,1853,1,1
500388,201,1012,100,12,202508,202509,0.144,1.49,585,0,1
500389,201,1012,100,12,202540,202541,0.238,1.33,866,0,1
500390,202,1012,100,12,202546,202546,0.13,1.51,237,1,0
500391,203,1013,100,12,202343,202344,0.216,1.31,503,1,1
500392,205,1013,100,12,202403,202404,0.062,1.57,404,0,0
500393,205,1013,100,12,202407,202408,0.103,1.5,584,0,0
500394,202,1013,100,12,202409,202411,0.128,1.46,601,1,0
500395,205,1013,100,12,202416,202418,0.099,1.51,1088,0,0
500396,206,1013,100,12,202432,202432,0.05,1.59,290,0,0
500397,200,1013,100,12,202441,202441,0.165,1.39,304,0,0
500398,206,1013,100,12,202501,202501,0.055,1.58,157,0,0
500399,203,1013,100,12,202519,202519,0.309,1.15,389,1,1
500400,200,1013,100,12,202525,202525,0.189,1.35,530,0,0
500401,205,1013,100,12,202532,202534,0.066,1.56,1181,0,0
500402,206,1013,100,12,202537,202537,0.041,1.6,148,0,0
500403,205,1013,100,12,202545,202546,0.099,1.51,435,0,0
500404,205,1013,100,12,202607,202609,0.056,1.58,557,0,0
500405,203,1013,100,12,202616,202618,0.247,1.26,1039,1,1
500406,202,1013,100,13,202310,202310,0.109,1.49,262,1,0
500407,200,1013,100,13,202324,202326,0.192,1.35,1612,0,0
500408,205,1013,100,13,202349,202350,0.085,1.53,458,0,0
500409,205,1013,100,13,202351,202352,0.096,1.51,536,0,0
500410,205,1013,100,13,202427,202427,0.058,1.57,348,0,0
500411,202,1013,100,13,202432,202432,0.127,1.46,391,1,0
500412,204,1013,100,13,202508,202510,0.256,1.24,956,0,0
500413,204,1013,100,13,202541,202542,0.357,1.07,1045,0,0
500414,201,1013,100,10,202323,202325,0.237,1.27,4557,0,1
500415,201,1013,100,10,202405,202405,0.231,1.28,853,0,1
500416,201,1013,100,10,202426,202427,0.171,1.38,2121,0,1
500417,200,1013,100,10,202432,202433,0.176,1.38,2360,0,0
500418,203,1013,100,10,202438,202440,0.236,1.28,3189,1,1
500419,201,1013,100,10,202522,202523,0.183,1.36,1513,0,1
500420,201,1013,100,10,202541,202543,0.247,1.26,3278,0,1
500421,203,1013,100,10,202549,202549,0.26,1.24,637,1,1
500422,205,1013,100,10,202610,202611,0.065,1.56,1144,0,0
500423,203,1013,100,10,202624,202624,0.191,1.35,1036,1,1
500424,201,1013,100,11,202315,202316,0.214,1.31,681,0,1
500425,206,1013,100,11,202327,202329,0.039,1.61,779,0,0
500426,205,1013,100,11,202414,202416,0.083,1.53,744,0,0
500427,200,1013,100,11,202429,202430,0.153,1.41,720,0,0
500428,206,1013,100,11,202432,202432,0.049,1.59,280,0,0
500429,201,1013,100,11,202445,202445,0.175,1.38,312,0,1
